1,the best zombies map of all time map black ops 1,1495955845385015300,1
2,i really hope treyarch doesnt release zombie chronicles 2 for black ops 4 please just save it for black ops 5 and next gen i want to play map on ps5,1485383470000058400,2
3, i liked map because i love exploring open worlds wish they would remaster map remove the fog denziens and lava plus remove the need for turbine to open pack a punch add it to outbreak would be the best dlc ever,1449846279010275300,1
4, unpopular opinion i always enjoyed map,1458599838908563500,1
5, im not sure if i hated a map more than map at the time there are more fun maps in blops 2 though,1459191756113600500,0
6, this is why map is my favorite map,1466824530421158000,1
7,45 rounds on map with the zambles squad really great run that provided some steps were taken ahead of time we could have hit the goal of 50 pretty handily if not push for even higher rounds but it was also late and were old im thinking about trying again today,1485223207988867000,2
8, best zombies map will be map,1489098432501399600,1
9,i just realized that the bo1 zombies map map is actually among us in cod zombies youre in a space station you do tasks and there is an imposter among us and richtofen is acting mad sus,1494201305107107800,1
10,i miss map,1488903715557945300,1
11,9 years ago today one of the greatest call of dutys released i remember standing in line for the midnight release waited many hours but i got my copy and went straight home and hopped on map zombies first great times best times happy birthday cod black ops 2,1459635666342482000,1
12,the greatest zombies map of all timemap black ops 1,1497421492753215500,1
13,saying scorpion is the best mortal kombat character is like saying map is the best zombies map,1497200499518582800,1
14, i actually liked all the maps but map without the bus was difficult,1496216074559316000,1
15, its cod ghosts dunno why ya on about using an acr and mp7 on strike zone,1498373340062437400,2
16,i want to wake up and its 2007 and the only thing i had to worry about was if everyone was on live to play map,1485987097597128700,1
17, i would say black ops 1 zombies and black ops 3 zombies as well doing easter eggs on bo3 solo on map at a middle of night 35am frustrating but it was fun trying to survive for so long,1440823630691139600,1
18, replace de with the masterpiece map and its a done deal,1459700459757871000,1
19,can we agree that map is the worst zombies map ever,1494117241868017700,0
20, i was fuckin shit up on map fr,1496228298585940000,0
21, thats black ops zombies map right there,1497487669789667300,2
22, never new idea map but instead of lava its ice nvm thats cotd and tag,1498360816420233200,2
23, yes but those maps on there are genuinely awful you cant tell me with a straight face that any of the cold war maps are even close to as good as shadows map zetsubou gorod etc,1447554333210513400,0
24, 4th pic is a map loading screen,1498166790765133800,2
25, bo2 was the best game that treyarch had made the zombies mode was goated idk wtf you are on you clearly did not have a good childhood if you didnt go over to your friends house to play rounds and rounds of map zombies,1489354223133200400,1
26, map also green run town was good too,1489222227484713000,1
27, map best zombies map ive ever played,1489176107987488800,1
28, trout would not survive the event of map,1497515038982250500,2
29, yo real talk gang dont worry cuz the money in map ,1497514419760386000,2
30,alex j burrow users like map,1497413241269596200,1
31, onslaught containment feels like an evolved version of map,1498380371603251200,2
32, map is my shit,1485974288796639200,1
33,i love map in my top 5 tbh,1495918409019707400,1
34, oh and cant forget about map the worst zombies map ever created lol other than that pure gold,1495882450676981800,0
